Reading ID, Time (µs), Force (N) 
1405,7008524,0
1406,7011566,0
1407,7014616,0
1408,7017665,0
1409,7020713,0
1410,7023762,0
1411,7026811,0
1412,7029860,0
1413,7032909,0
1414,7035958,0
1415,7039009,0
1416,7043508,0
1417,7046506,0
1418,7049507,0
1419,7051203,0
1420,7054252,0
1421,7057300,0
1422,7060352,0
1423,7063398,0
1424,7066447,0
1425,7069496,0
1426,7072545,0
1427,7075594,0
1428,7078642,0
1429,7081691,0
1430,7084740,0
1431,7087789,0
1432,7092509,0
1433,7095509,0
1434,7096936,0
1435,7099985,0
1436,7103035,0
1437,7106083,0
1438,7109131,0
1439,7112180,0
1440,7115230,0
1441,7118278,0
1442,7121327,0
1443,7124376,0
1444,7127425,0
1445,7130474,0
1446,7133529,0
1447,7136572,0
1448,7141508,0
1449,7144506,0
1450,7147508,0
1451,7148767,0
1452,7151816,0
1453,7154865,0
1454,7157914,0
1455,7160963,0
1456,7164012,0
1457,7167062,0
1458,7170111,0
1459,7173160,0
1460,7176209,0
1461,7179258,0
1462,7182307,0
1463,7185356,0
1464,7189511,0
1465,7192507,0
1466,7194511,0
1467,7197553,0
1468,7200602,0
1469,7203651,0
1470,7206700,0
1471,7209750,0
1472,7212798,0
1473,7215847,0
1474,7218896,0
1475,7221945,0
1476,7224994,0
1477,7228044,0
1478,7231093,0
1479,7234142,0
1480,7238508,0
1481,7241507,0
1482,7244507,0
1483,7246339,0
1484,7249387,0
1485,7252438,0
1486,7255486,0
1487,7258535,0
1488,7261584,0
1489,7264633,0
1490,7267683,0
1491,7270732,0
1492,7273781,0
1493,7276830,0
1494,7279880,0
1495,7282929,0
1496,7287510,0
1497,7290509,0
1498,7292076,0
1499,7295128,0
1500,7298174,0
1501,7301223,0
1502,7304272,0
1503,7307322,0
1504,7310371,0
1505,7313420,0
1506,7316469,0
1507,7319525,0
1508,7322567,0
1509,7325616,0
1510,7328665,0
1511,7331714,0
1512,7336509,0
1513,7339505,0
1514,7342508,0
1515,7343910,0
1516,7346959,0
1517,7350009,0
1518,7353058,0
1519,7356106,0
1520,7359157,0
1521,7362204,0
1522,7365253,0
1523,7368302,0
1524,7371352,0
1525,7374401,0
1526,7377450,0
1527,7380505,0
1528,7385510,0
1529,7388509,0
1530,7389683,0
1531,7392693,0
1532,7395742,0
1533,7398791,0
1534,7401841,0
1535,7404889,0
1536,7407938,0
1537,7410986,0
1538,7414036,0
1539,7417084,0
1540,7420133,0
1541,7423183,1
1542,7426231,1
1543,7429280,0
1544,7433509,0
1545,7436508,0
1546,7438427,0
1547,7441476,0
1548,7444533,1
1549,7447574,0
1550,7450623,1
1551,7453672,1
1552,7456721,1
1553,7459770,1
1554,7462819,1
1555,7465891,0
1556,7468926,1
1557,7471976,1
1558,7475023,0
1559,7478080,1
1560,7482512,1
1561,7485513,0
1562,7488510,0
1563,7490273,1
1564,7493313,1
1565,7496366,1
1566,7499415,1
1567,7502462,1
1568,7505517,1
1569,7508559,1
1570,7511608,1
1571,7514657,1
1572,7517708,1
1573,7520754,1
1574,7523803,1
1575,7526852,1
1576,7531513,1
1577,7534510,1
1578,7536102,12
1579,7539050,1
1580,7542097,1
1581,7545152,1
1582,7548193,1
1583,7551243,1
1584,7554290,1
1585,7557340,1
1586,7560390,1
1587,7563439,1
1588,7566486,1
1589,7569540,1
1590,7572585,1
1591,7575635,1
1592,7580517,1
1593,7583512,1
1594,7586513,1
1595,7587945,1
1596,7590883,1
1597,7593929,1
1598,7596970,1
1599,7600019,1
1600,7603067,1
1601,7606116,1
1602,7609165,1
1603,7612213,1
1604,7615262,1
1605,7618311,1
1606,7621360,1
1607,7624409,1
1608,7628511,1
1609,7631507,1
1610,7633558,1
1611,7636605,1
1612,7639654,1
1613,7642703,1
1614,7645751,1
1615,7648800,1
1616,7651849,1
1617,7654898,1
1618,7657947,1
1619,7660996,1
1620,7664045,1
1621,7667093,2
1622,7670142,2
1623,7673191,2
1624,7677511,2
1625,7680518,15
1626,7683516,2
1627,7685410,2
1628,7688446,2
1629,7691494,2
1630,7694543,2
1631,7697594,2
1632,7700642,2
1633,7703689,2
1634,7706738,2
1635,7709787,2
1636,7712836,2
1637,7715885,2
1638,7718932,2
1639,7721981,2
1640,7725513,-1
1641,7728515,2
1642,7731516,2
1643,7734176,2
1644,7737225,2
1645,7740273,2
1646,7743325,2
1647,7746370,2
1648,7749420,2
1649,7752468,2
1650,7755524,3
1651,7758565,3
1652,7761616,3
1653,7764662,3
1654,7767712,3
1655,7770760,3
1656,7775517,3
1657,7778513,3
1658,7781517,3
1659,7783326,3
1660,7786004,3
1661,7789053,7
1662,7792103,3
1663,7795151,3
